composer,title,split,performer,model,recording,p_f,r_f,f_f
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,T5,maestro,0.5627,0.9272,0.7004
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,oaf,maestro,0.8689,0.906,0.8871
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,kong,maestro,0.8924,0.9453,0.9181
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,oaf,disklavier,0.8822,0.836,0.8585
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,T5,disklavier,0.5126,0.7725,0.6163
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,kong,disklavier,0.9023,0.8748,0.8884
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,T5,maestro,0.4535,0.9298,0.6097
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,oaf,maestro,0.8539,0.8876,0.8704
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,kong,maestro,0.8928,0.9427,0.917
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,T5,disklavier,0.4951,0.8199,0.6174
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,oaf,disklavier,0.836,0.8065,0.821
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,kong,disklavier,0.8752,0.902,0.8884
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,T5,maestro,0.4824,0.9457,0.6389
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,kong,maestro,0.9266,0.9569,0.9415
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,oaf,maestro,0.8274,0.8796,0.8527
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,T5,disklavier,0.4705,0.7874,0.589
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,oaf,disklavier,0.8078,0.8025,0.8052
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,kong,disklavier,0.886,0.8868,0.8864
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,T5,maestro,0.4976,0.9233,0.6467
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,oaf,maestro,0.8308,0.8835,0.8564
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,kong,maestro,0.8823,0.9324,0.9066
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,T5,disklavier,0.5156,0.8029,0.628
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,kong,disklavier,0.8781,0.8822,0.8801
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,oaf,disklavier,0.7773,0.7791,0.7782
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,oaf,maestro,0.8361,0.8905,0.8624
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,T5,maestro,0.5281,0.9193,0.6708
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,kong,maestro,0.8657,0.9315,0.8974
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,oaf,disklavier,0.8461,0.8363,0.8412
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,T5,disklavier,0.6361,0.7893,0.7045
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,kong,disklavier,0.9026,0.891,0.8968
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,kong,maestro,0.8917,0.9403,0.9153
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,T5,maestro,0.3138,0.4066,0.3542
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,oaf,maestro,0.8154,0.8927,0.8523
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,T5,disklavier,0.6518,0.6828,0.6669
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,oaf,disklavier,0.851,0.8057,0.8277
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,kong,disklavier,0.9061,0.8516,0.878
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,oaf,maestro,0.7878,0.8803,0.8315
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,kong,maestro,0.8648,0.9356,0.8988
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,T5,maestro,0.2966,0.4199,0.3476
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,oaf,disklavier,0.8054,0.7982,0.8018
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,kong,disklavier,0.9016,0.884,0.8927
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,T5,disklavier,0.7376,0.7311,0.7343
Chopin,Polonaises_53,test,Chon08M,T5,maestro,0.5978,0.8426,0.6994
Chopin,Polonaises_53,test,Chon08M,kong,maestro,0.8177,0.9169,0.8645
Chopin,Polonaises_53,test,Chon08M,oaf,maestro,0.7888,0.8193,0.8038
Chopin,Polonaises_53,test,Chon08M,kong,disklavier,0.843,0.7546,0.7964
Chopin,Polonaises_53,test,Chon08M,T5,disklavier,0.5548,0.4963,0.5239
Chopin,Polonaises_53,test,Chon08M,oaf,disklavier,0.876,0.6513,0.7471
Chopin,Polonaises_53,test,YeF11M,oaf,maestro,0.8996,0.862,0.8804
Chopin,Polonaises_53,test,YeF11M,T5,maestro,0.7217,0.8945,0.7988
Chopin,Polonaises_53,test,YeF11M,kong,maestro,0.9152,0.9361,0.9255
Chopin,Polonaises_53,test,YeF11M,T5,disklavier,0.5824,0.7282,0.6472
Chopin,Polonaises_53,test,YeF11M,oaf,disklavier,0.927,0.8019,0.8599
Chopin,Polonaises_53,test,YeF11M,kong,disklavier,0.9132,0.8792,0.8959
Chopin,Sonata_2_4th,test,KaszoS16M,kong,maestro,0.7494,0.926,0.8284
Chopin,Sonata_2_4th,test,KaszoS16M,oaf,maestro,0.7139,0.8501,0.7761
Chopin,Sonata_2_4th,test,KaszoS16M,T5,maestro,0.7399,0.8494,0.7908
Chopin,Sonata_2_4th,test,KaszoS16M,oaf,disklavier,0.8434,0.6762,0.7506
Chopin,Sonata_2_4th,test,KaszoS16M,T5,disklavier,0.7302,0.6147,0.6675
Chopin,Sonata_2_4th,test,KaszoS16M,kong,disklavier,0.7841,0.7042,0.742
