composer,title,split,performer,model,recording,p_no,r_no,f_no
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,kong,maestro,0.9217,0.9056,0.9136
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,oaf,maestro,0.8324,0.8002,0.816
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,T5,maestro,0.8858,0.8603,0.8729
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,kong,disklavier,0.8357,0.8287,0.8322
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,T5,disklavier,0.7057,0.7353,0.7202
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,oaf,disklavier,0.7448,0.7071,0.7254
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,T5,maestro,0.902,0.8704,0.8859
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,oaf,maestro,0.819,0.7798,0.7989
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,kong,maestro,0.8983,0.8813,0.8897
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,oaf,disklavier,0.6904,0.6469,0.6679
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,T5,disklavier,0.7846,0.8069,0.7956
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,kong,disklavier,0.8829,0.8698,0.8763
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,T5,maestro,0.9602,0.939,0.9494
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,oaf,maestro,0.7921,0.769,0.7804
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,kong,maestro,0.9438,0.9328,0.9383
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,T5,disklavier,0.7751,0.8193,0.7966
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,oaf,disklavier,0.6066,0.5813,0.5937
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,kong,disklavier,0.8947,0.8887,0.8917
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,kong,maestro,0.8926,0.886,0.8893
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,T5,maestro,0.8836,0.856,0.8696
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,oaf,maestro,0.846,0.8112,0.8282
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,T5,disklavier,0.7905,0.8069,0.7986
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,kong,disklavier,0.8697,0.8603,0.865
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,oaf,disklavier,0.3695,0.3526,0.3608
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,T5,maestro,0.8871,0.8583,0.8725
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,oaf,maestro,0.8279,0.7983,0.8128
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,kong,maestro,0.8854,0.8686,0.8769
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,T5,disklavier,0.7673,0.7989,0.7828
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,oaf,disklavier,0.7402,0.7086,0.724
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,kong,disklavier,0.8865,0.8851,0.8858
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,T5,maestro,0.0344,0.0335,0.034
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,kong,maestro,0.9083,0.8985,0.9034
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,oaf,maestro,0.7487,0.7232,0.7357
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,oaf,disklavier,0.65,0.6275,0.6386
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,T5,disklavier,0.6122,0.6391,0.6254
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,kong,disklavier,0.8235,0.8232,0.8233
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,T5,maestro,0.0425,0.0414,0.0419
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,oaf,maestro,0.7414,0.7137,0.7273
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,kong,maestro,0.8939,0.8812,0.8875
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,oaf,disklavier,0.7043,0.6772,0.6905
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,T5,disklavier,0.7149,0.7346,0.7246
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,kong,disklavier,0.8788,0.8722,0.8755
Chopin,Polonaises_53,test,Chon08M,kong,maestro,0.8229,0.7643,0.7925
Chopin,Polonaises_53,test,Chon08M,oaf,maestro,0.4877,0.4368,0.4609
Chopin,Polonaises_53,test,Chon08M,T5,maestro,0.6821,0.612,0.6452
Chopin,Polonaises_53,test,Chon08M,T5,disklavier,0.4022,0.405,0.4036
Chopin,Polonaises_53,test,Chon08M,oaf,disklavier,0.4297,0.3889,0.4083
Chopin,Polonaises_53,test,Chon08M,kong,disklavier,0.6361,0.6295,0.6327
Chopin,Polonaises_53,test,YeF11M,oaf,maestro,0.6749,0.6084,0.6399
Chopin,Polonaises_53,test,YeF11M,T5,maestro,0.7415,0.6757,0.7071
Chopin,Polonaises_53,test,YeF11M,kong,maestro,0.9095,0.8641,0.8862
Chopin,Polonaises_53,test,YeF11M,kong,disklavier,0.7962,0.7884,0.7922
Chopin,Polonaises_53,test,YeF11M,T5,disklavier,0.5125,0.5075,0.51
Chopin,Polonaises_53,test,YeF11M,oaf,disklavier,0.6275,0.5797,0.6026
Chopin,Sonata_2_4th,test,KaszoS16M,T5,maestro,0.7451,0.6759,0.7088
Chopin,Sonata_2_4th,test,KaszoS16M,oaf,maestro,0.5645,0.4967,0.5285
Chopin,Sonata_2_4th,test,KaszoS16M,kong,maestro,0.7471,0.7215,0.7341
Chopin,Sonata_2_4th,test,KaszoS16M,oaf,disklavier,0.651,0.5748,0.6106
Chopin,Sonata_2_4th,test,KaszoS16M,T5,disklavier,0.6067,0.56,0.5824
Chopin,Sonata_2_4th,test,KaszoS16M,kong,disklavier,0.5364,0.5228,0.5295
Debussy,Pour_le_Piano_1,test,MunA12M,T5,maestro,0.4711,0.4449,0.4576
Debussy,Pour_le_Piano_1,test,MunA12M,kong,maestro,0.9092,0.8726,0.8906
Debussy,Pour_le_Piano_1,test,MunA12M,oaf,maestro,0.4537,0.4146,0.4333
Debussy,Pour_le_Piano_1,test,MunA12M,kong,disklavier,0.6946,0.6737,0.684
Debussy,Pour_le_Piano_1,test,MunA12M,oaf,disklavier,0.3992,0.3531,0.3748
Debussy,Pour_le_Piano_1,test,MunA12M,T5,disklavier,0.3093,0.3032,0.3062
Liszt,Transcendental_Etudes_10,test,LeungM06M,T5,maestro,0.7244,0.6404,0.6798
Liszt,Transcendental_Etudes_10,test,LeungM06M,oaf,maestro,0.6284,0.5504,0.5868
Liszt,Transcendental_Etudes_10,test,LeungM06M,kong,maestro,0.8442,0.7741,0.8076
Liszt,Transcendental_Etudes_10,test,LeungM06M,kong,disklavier,0.7638,0.7195,0.741
Liszt,Transcendental_Etudes_10,test,LeungM06M,oaf,disklavier,0.6157,0.5415,0.5762
Liszt,Transcendental_Etudes_10,test,LeungM06M,T5,disklavier,0.5482,0.5129,0.53
Liszt,Transcendental_Etudes_11,test,Huang18M,T5,maestro,0.0167,0.0155,0.0161
Liszt,Transcendental_Etudes_11,test,Huang18M,oaf,maestro,0.0161,0.0145,0.0152
Liszt,Transcendental_Etudes_11,test,Huang18M,kong,maestro,0.0116,0.011,0.0113
Liszt,Transcendental_Etudes_11,test,Huang18M,oaf,disklavier,0.0121,0.0112,0.0116
Liszt,Transcendental_Etudes_11,test,Huang18M,T5,disklavier,0.0041,0.0043,0.0042
Liszt,Transcendental_Etudes_11,test,Huang18M,kong,disklavier,0.0232,0.0233,0.0232
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,oaf,maestro,0.761,0.7091,0.7341
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,kong,maestro,0.8929,0.8686,0.8806
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,T5,maestro,0.7325,0.6955,0.7135
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,kong,disklavier,0.8044,0.7941,0.7992
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,T5,disklavier,0.5769,0.5889,0.5829
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,oaf,disklavier,0.7036,0.6619,0.6821
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,oaf,maestro,0.4724,0.4521,0.4621
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,kong,maestro,0.7423,0.724,0.733
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,T5,maestro,0.6165,0.5705,0.5926
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,oaf,disklavier,0.3337,0.3094,0.3211
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,T5,disklavier,0.2906,0.2971,0.2938
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,kong,disklavier,0.4039,0.4,0.402
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,kong,maestro,0.8962,0.8761,0.8861
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,T5,maestro,0.5149,0.4769,0.4952
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,oaf,maestro,0.4524,0.4346,0.4433
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,kong,disklavier,0.8115,0.8155,0.8135
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,T5,disklavier,0.4116,0.4037,0.4076
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,oaf,disklavier,0.4222,0.4028,0.4123
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,kong,maestro,0.8879,0.8856,0.8867
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,oaf,maestro,0.4979,0.4868,0.4923
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,T5,maestro,0.5552,0.5348,0.5448
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,oaf,disklavier,0.4511,0.4176,0.4337
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,kong,disklavier,0.6895,0.6856,0.6875
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,T5,disklavier,0.4095,0.4014,0.4054
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,oaf,maestro,0.422,0.414,0.418
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,kong,maestro,0.9121,0.9073,0.9097
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,T5,maestro,0.4657,0.4452,0.4552
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,oaf,disklavier,0.365,0.3446,0.3545
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,T5,disklavier,0.3066,0.3094,0.308
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,kong,disklavier,0.738,0.7415,0.7397
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,T5,maestro,0.7263,0.7042,0.7151
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,kong,maestro,0.8856,0.8777,0.8816
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,oaf,maestro,0.6095,0.5832,0.596
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,oaf,disklavier,0.3793,0.3563,0.3674
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,kong,disklavier,0.4916,0.4977,0.4946
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,T5,disklavier,0.3256,0.3347,0.3301
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,T5,maestro,0.6893,0.6704,0.6797
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,oaf,maestro,0.5653,0.5419,0.5533
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,kong,maestro,0.8361,0.825,0.8306
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,T5,disklavier,0.3552,0.3686,0.3617
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,oaf,disklavier,0.4333,0.4092,0.4209
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,kong,disklavier,0.5635,0.5759,0.5696
Bach,Fugue_bwv_848,train,Denisova06M,kong,maestro,0.9565,0.9512,0.9538
Bach,Fugue_bwv_848,train,Denisova06M,oaf,maestro,0.8146,0.8026,0.8086
Bach,Fugue_bwv_848,train,Denisova06M,T5,maestro,0.1323,0.1304,0.1314
Bach,Fugue_bwv_848,train,Denisova06M,T5,disklavier,0.868,0.8849,0.8764
Bach,Fugue_bwv_848,train,Denisova06M,kong,disklavier,0.9519,0.9526,0.9522
Bach,Fugue_bwv_848,train,Denisova06M,oaf,disklavier,0.6517,0.6457,0.6487
Bach,Fugue_bwv_848,train,Lin04M,oaf,maestro,0.8174,0.8014,0.8093
Bach,Fugue_bwv_848,train,Lin04M,T5,maestro,0.0318,0.0315,0.0316
Bach,Fugue_bwv_848,train,Lin04M,kong,maestro,0.9362,0.9336,0.9349
Bach,Fugue_bwv_848,train,Lin04M,T5,disklavier,0.8284,0.8476,0.8379
Bach,Fugue_bwv_848,train,Lin04M,oaf,disklavier,0.7008,0.6944,0.6976
Bach,Fugue_bwv_848,train,Lin04M,kong,disklavier,0.9429,0.9476,0.9452
Bach,Fugue_bwv_848,train,Lou01M,kong,maestro,0.949,0.947,0.948
Bach,Fugue_bwv_848,train,Lou01M,T5,maestro,0.0498,0.0495,0.0497
Bach,Fugue_bwv_848,train,Lou01M,oaf,maestro,0.8161,0.8081,0.8121
Bach,Fugue_bwv_848,train,Lou01M,kong,disklavier,0.9424,0.9484,0.9454
Bach,Fugue_bwv_848,train,Lou01M,T5,disklavier,0.8392,0.8667,0.8527
Bach,Fugue_bwv_848,train,Lou01M,oaf,disklavier,0.927,0.9218,0.9244
Bach,Fugue_bwv_848,train,MiyashitaM01M,oaf,maestro,0.8734,0.8637,0.8685
Bach,Fugue_bwv_848,train,MiyashitaM01M,T5,maestro,0.0903,0.0897,0.09
Bach,Fugue_bwv_848,train,MiyashitaM01M,kong,maestro,0.9804,0.9764,0.9784
Bach,Fugue_bwv_848,train,MiyashitaM01M,kong,disklavier,0.9343,0.9395,0.9369
Bach,Fugue_bwv_848,train,MiyashitaM01M,T5,disklavier,0.823,0.8505,0.8365
Bach,Fugue_bwv_848,train,MiyashitaM01M,oaf,disklavier,0.6872,0.6829,0.685
Bach,Fugue_bwv_848,train,Mizumoto03M,kong,maestro,0.9686,0.9659,0.9673
Bach,Fugue_bwv_848,train,Mizumoto03M,T5,maestro,0.0645,0.0639,0.0642
Bach,Fugue_bwv_848,train,Mizumoto03M,oaf,maestro,0.8209,0.8124,0.8166
Bach,Fugue_bwv_848,train,Mizumoto03M,oaf,disklavier,0.6779,0.6699,0.6739
Bach,Fugue_bwv_848,train,Mizumoto03M,T5,disklavier,0.8101,0.827,0.8184
Bach,Fugue_bwv_848,train,Mizumoto03M,kong,disklavier,0.9355,0.9472,0.9413
Bach,Fugue_bwv_848,train,SunY01M,kong,maestro,0.9685,0.9658,0.9671
Bach,Fugue_bwv_848,train,SunY01M,oaf,maestro,0.8123,0.8043,0.8083
Bach,Fugue_bwv_848,train,SunY01M,T5,maestro,0.031,0.0307,0.0309
Bach,Fugue_bwv_848,train,SunY01M,kong,disklavier,0.9194,0.9252,0.9223
Bach,Fugue_bwv_848,train,SunY01M,oaf,disklavier,0.6751,0.6695,0.6723
Bach,Fugue_bwv_848,train,SunY01M,T5,disklavier,0.6878,0.7589,0.7216
Bach,Fugue_bwv_848,train,Zhou01M,kong,maestro,0.9706,0.9699,0.9703
Bach,Fugue_bwv_848,train,Zhou01M,oaf,maestro,0.8305,0.8259,0.8282
Bach,Fugue_bwv_848,train,Zhou01M,T5,maestro,0.0963,0.0958,0.096
Bach,Fugue_bwv_848,train,Zhou01M,T5,disklavier,0.8281,0.8587,0.8431
Bach,Fugue_bwv_848,train,Zhou01M,oaf,disklavier,0.6231,0.6196,0.6213
Bach,Fugue_bwv_848,train,Zhou01M,kong,disklavier,0.9529,0.9629,0.9579
