composer,title,split,performer,model,recording,p_nov,r_nov,f_nov
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,kong,maestro,0.9021,0.8863,0.8941
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,oaf,maestro,0.8123,0.7809,0.7963
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,T5,maestro,0.8792,0.8539,0.8663
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,kong,disklavier,0.7658,0.7595,0.7627
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,T5,disklavier,0.6263,0.6526,0.6392
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,oaf,disklavier,0.6915,0.6566,0.6736
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,T5,maestro,0.8988,0.8674,0.8829
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,oaf,maestro,0.8028,0.7644,0.7831
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,kong,maestro,0.8879,0.871,0.8794
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,oaf,disklavier,0.6408,0.6005,0.62
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,T5,disklavier,0.6985,0.7183,0.7083
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,kong,disklavier,0.7878,0.7761,0.7819
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,T5,maestro,0.9577,0.9365,0.947
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,oaf,maestro,0.7649,0.7426,0.7536
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,kong,maestro,0.9354,0.9245,0.93
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,T5,disklavier,0.6883,0.7276,0.7074
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,oaf,disklavier,0.5647,0.5411,0.5526
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,kong,disklavier,0.8274,0.8218,0.8246
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,kong,maestro,0.8864,0.8798,0.8831
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,T5,maestro,0.8804,0.8529,0.8664
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,oaf,maestro,0.8315,0.7973,0.814
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,T5,disklavier,0.7154,0.7302,0.7227
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,kong,disklavier,0.8088,0.8001,0.8044
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,oaf,disklavier,0.3462,0.3303,0.3381
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,T5,maestro,0.8806,0.8521,0.8661
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,oaf,maestro,0.8072,0.7783,0.7925
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,kong,maestro,0.8778,0.8611,0.8694
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,T5,disklavier,0.6986,0.7273,0.7126
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,oaf,disklavier,0.692,0.6625,0.677
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,kong,disklavier,0.8235,0.8222,0.8229
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,T5,maestro,0.0248,0.0242,0.0245
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,kong,maestro,0.9009,0.8912,0.896
