composer,title,split,performer,model,recording,melody_kor_corr_64,bass_kor_corr_64,ratio_kor_corr_64,melody_kor_corr_127,bass_kor_corr_127,ratio_kor_corr_127
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,kong,maestro,0.4954,0.4592,0.6177,0.4319,0.4444,0.5333
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,oaf,maestro,0.1667,0.1744,0.2559,0.1667,0.1744,0.2559
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,T5,maestro,0.2137,0.118,0.1847,0.2137,0.118,0.1847
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,kong,disklavier,0.0451,0.2702,0.1121,0.0142,0.2697,0.0665
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,T5,disklavier,0.0149,0.0836,0.0352,0.0149,0.0836,0.0352
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,oaf,disklavier,0.0064,0.1682,0.0729,0.0064,0.1682,0.0729
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,T5,maestro,0.2162,0.1769,0.1209,0.2162,0.1769,0.1209
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,oaf,maestro,0.4665,0.2115,0.4147,0.4665,0.2115,0.4147
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,kong,maestro,0.3931,0.4472,0.4146,0.3961,0.3698,0.4113
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,oaf,disklavier,0.139,0.2328,0.0584,0.139,0.2328,0.0584
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,T5,disklavier,0.0371,0.0884,-0.005,0.0371,0.0884,-0.005
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,kong,disklavier,0.1009,0.4566,0.0076,0.0926,0.3832,0.0055
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,T5,maestro,0.1525,0.2678,0.1974,0.1525,0.2678,0.1974
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,oaf,maestro,0.1777,0.2667,0.2418,0.1777,0.2667,0.2418
