composer,title,split,performer,model,recording,melody_ioi_corr,acc_ioi_corr,ratio_ioi_corr,melody_ioi_dtw_dist,acc_ioi_dtw_dist,melody_ioi_hist_kld,acc_ioi_hist_kld
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,kong,maestro,0.6173,0.32,0.0,391.0,1066.0,0.0867,0.1605
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,T5,maestro,0.3268,0.4135,0.0,1789.0,5251.0,0.4243,0.0666
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,oaf,maestro,0.3477,0.2952,0.0,572.0,1894.0,1.3905,4.1713
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,oaf,disklavier,0.7193,0.7083,0.0,548.0,1891.0,1.2372,3.1015
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,T5,disklavier,0.174,0.3997,0.0,1481.0,6775.0,2.2789,1.0904
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,kong,disklavier,0.6813,0.3784,0.0,424.0,1335.0,0.774,1.1306
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,kong,maestro,0.7534,0.3937,0.0,400.0,1018.0,0.1452,0.1146
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,oaf,maestro,0.4375,0.2489,0.0,539.0,1557.0,1.8423,4.2872
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,T5,maestro,0.1426,0.4982,0.0,2257.0,7378.0,0.2986,0.0753
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,T5,disklavier,0.232,0.4016,0.0,3487.0,4808.0,1.4086,0.9457
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,oaf,disklavier,0.7806,0.6758,0.0,603.0,1923.0,0.9046,3.1757
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,kong,disklavier,0.6239,0.3202,0.0,411.0,1237.0,1.2283,0.8642
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,kong,maestro,0.6021,0.371,0.0,380.0,722.0,0.4543,0.1231
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,T5,maestro,0.3445,0.4707,0.0,2968.0,4789.0,0.4765,0.0662
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,oaf,maestro,0.3331,0.1596,0.0,557.0,1212.0,1.1479,4.0908
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,kong,disklavier,0.7008,0.4086,0.0,465.0,1168.0,1.419,0.9848
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,oaf,disklavier,0.7285,0.6893,0.0,654.0,1582.0,1.5155,2.8152
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,T5,disklavier,0.3505,0.4154,0.0,1578.0,6253.0,2.419,0.9359
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,oaf,maestro,0.411,0.1957,0.0,538.0,1623.0,2.0392,4.6847
