composer,title,split,performer,model,recording,melody_ioi_corr,acc_ioi_corr,ratio_ioi_corr,melody_ioi_dtw_dist,acc_ioi_dtw_dist,melody_ioi_hist_kld,acc_ioi_hist_kld
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,kong,maestro,0.6301,0.4264,0.0,393.0,1065.0,0.077,0.0887
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,T5,maestro,0.1657,0.3053,0.0,1790.0,5251.0,0.598,0.1211
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,oaf,maestro,0.7829,0.4901,0.0,568.0,1895.0,1.7667,6.5373
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,oaf,disklavier,0.3069,0.0994,0.0,544.0,1893.0,1.9169,6.2891
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,T5,disklavier,0.1981,0.0991,0.0,1483.0,6775.0,1.2239,0.9082
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,kong,disklavier,0.2954,0.1069,0.0,434.0,1332.0,1.1806,1.0083
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,kong,maestro,0.5208,0.2705,0.0,402.0,1018.0,0.1138,0.0733
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,oaf,maestro,0.7739,0.4653,0.0,541.0,1557.0,1.9765,6.4377
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,T5,maestro,0.1017,0.1595,0.0,2261.0,7378.0,0.4498,0.1279
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,T5,disklavier,-0.0316,0.0736,0.0,3483.0,4808.0,1.9772,0.7021
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,oaf,disklavier,0.2825,0.0794,0.0,604.0,1923.0,2.036,6.1467
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,kong,disklavier,0.229,0.081,0.0,403.0,1237.0,1.1786,0.7509
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,kong,maestro,0.5765,0.428,0.0,379.0,722.0,0.4028,0.078
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,T5,maestro,0.1907,0.2786,0.0,2968.0,4791.0,0.358,0.1429
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,oaf,maestro,0.7639,0.5291,0.0,550.0,1212.0,1.9239,6.603
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,kong,disklavier,0.1699,0.0845,0.0,467.0,1168.0,0.9028,0.9468
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,oaf,disklavier,0.2269,0.0831,0.0,653.0,1582.0,1.9681,6.227
