composer,title,split,model,recording,p_f,r_f,f_f,reverb,snr
Bach,Fugue_bwv_848,train,T5,disklavier,0.5348,0.7299,0.6173,norev,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.9077,0.9126,0.9101,norev,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.7623,0.9087,0.8291,norev,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,0.6155,0.7359,0.6704,norev,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.8418,0.895,0.8676,norev,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.7602,0.9008,0.8246,norev,24
Bach,Fugue_bwv_848,train,T5,disklavier,0.0642,0.0592,0.0616,norev,12
Bach,Fugue_bwv_848,train,kong,disklavier,0.8191,0.7653,0.7913,norev,12
Bach,Fugue_bwv_848,train,oaf,disklavier,0.7544,0.8811,0.8129,norev,12
Bach,Fugue_bwv_848,train,T5,disklavier,0.0331,0.0577,0.0421,norev,6
Bach,Fugue_bwv_848,train,kong,disklavier,0.1156,0.0869,0.0992,norev,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.7069,0.8545,0.7737,norev,6
Bach,Fugue_bwv_848,train,T5,disklavier,0.5533,0.6689,0.6056,s,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.8283,0.9109,0.8677,s,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.7663,0.9188,0.8357,s,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,0.4259,0.6973,0.5288,s,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.7161,0.8055,0.7582,s,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.7478,0.9066,0.8195,s,24
Bach,Fugue_bwv_848,train,T5,disklavier,0.0544,0.0766,0.0636,s,12
Bach,Fugue_bwv_848,train,kong,disklavier,0.1377,0.0957,0.1129,s,12
Bach,Fugue_bwv_848,train,oaf,disklavier,0.7088,0.8378,0.7679,s,12
Bach,Fugue_bwv_848,train,T5,disklavier,0.0223,0.0029,0.0052,s,6
Bach,Fugue_bwv_848,train,kong,disklavier,0.0773,0.0146,0.0246,s,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.6507,0.559,0.6014,s,6
Bach,Fugue_bwv_848,train,T5,disklavier,0.1757,0.6187,0.2737,m,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.4942,0.8545,0.6262,m,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.6183,0.8653,0.7213,m,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,0.1373,0.5647,0.2209,m,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.4238,0.7423,0.5396,m,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.5793,0.8248,0.6806,m,24
Bach,Fugue_bwv_848,train,T5,disklavier,0.0285,0.1558,0.0482,m,12
Bach,Fugue_bwv_848,train,kong,disklavier,0.17,0.074,0.1031,m,12
Bach,Fugue_bwv_848,train,oaf,disklavier,0.4338,0.7287,0.5438,m,12
Bach,Fugue_bwv_848,train,T5,disklavier,0.0273,0.406,0.0511,m,6
Bach,Fugue_bwv_848,train,kong,disklavier,0.0599,0.0048,0.0088,m,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.0581,0.1185,0.0779,m,6
Bach,Fugue_bwv_848,train,T5,disklavier,0.0548,0.9547,0.1036,l,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.0905,0.9632,0.1655,l,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.1993,0.8352,0.3218,l,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,0.0505,0.6667,0.0938,l,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.1684,0.7659,0.2761,l,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.1627,0.7952,0.2701,l,24
