composer,title,split,model,recording,p_no,r_no,f_no,reverb,snr
Bach,Fugue_bwv_848,train,T5,disklavier,0.8306,0.8561,0.8432,norev,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.9357,0.9409,0.9383,norev,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.6891,0.6843,0.6867,norev,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,0.8003,0.8303,0.815,norev,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.8747,0.879,0.8769,norev,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.683,0.6773,0.6802,norev,24
Bach,Fugue_bwv_848,train,T5,disklavier,0.0181,0.0146,0.0162,norev,12
Bach,Fugue_bwv_848,train,kong,disklavier,0.7627,0.8025,0.7821,norev,12
Bach,Fugue_bwv_848,train,oaf,disklavier,0.6464,0.6419,0.6441,norev,12
Bach,Fugue_bwv_848,train,T5,disklavier,0.0184,0.0028,0.0048,norev,6
Bach,Fugue_bwv_848,train,kong,disklavier,0.0297,0.0264,0.028,norev,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.5432,0.5821,0.5619,norev,6
Bach,Fugue_bwv_848,train,T5,disklavier,0.6312,0.758,0.6888,s,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.8226,0.8644,0.843,s,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.7623,0.7538,0.758,s,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,0.6158,0.6433,0.6293,s,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.6541,0.7232,0.6869,s,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.7128,0.7093,0.711,s,24
Bach,Fugue_bwv_848,train,T5,disklavier,0.014,0.0042,0.0064,s,12
Bach,Fugue_bwv_848,train,kong,disklavier,0.0263,0.0223,0.0241,s,12
Bach,Fugue_bwv_848,train,oaf,disklavier,0.6294,0.6412,0.6352,s,12
Bach,Fugue_bwv_848,train,T5,disklavier,0.0,0.0,0.0,s,6
Bach,Fugue_bwv_848,train,kong,disklavier,0.022,0.0035,0.006,s,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.5513,0.4145,0.4732,s,6
Bach,Fugue_bwv_848,train,T5,disklavier,0.1687,0.5056,0.253,m,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.3164,0.4708,0.3784,m,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.3495,0.3401,0.3447,m,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,0.143,0.2239,0.1745,m,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.2401,0.315,0.2725,m,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.3538,0.3567,0.3553,m,24
Bach,Fugue_bwv_848,train,T5,disklavier,0.0069,0.0007,0.0013,m,12
Bach,Fugue_bwv_848,train,kong,disklavier,0.0121,0.0028,0.0045,m,12
Bach,Fugue_bwv_848,train,oaf,disklavier,0.2348,0.3081,0.2665,m,12
Bach,Fugue_bwv_848,train,T5,disklavier,0.0075,0.0014,0.0023,m,6
Bach,Fugue_bwv_848,train,kong,disklavier,0.0,0.0,0.0,m,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.0042,0.0035,0.0038,m,6
Bach,Fugue_bwv_848,train,T5,disklavier,0.0764,0.2629,0.1183,l,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.0493,0.0974,0.0655,l,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.0444,0.0487,0.0464,l,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,0.0056,0.0063,0.0059,l,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.0689,0.1029,0.0825,l,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.0517,0.0584,0.0548,l,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.0254,0.0042,0.0072,l,12
Bach,Fugue_bwv_848,train,oaf,disklavier,0.0597,0.0834,0.0696,l,12
Bach,Fugue_bwv_848,train,kong,disklavier,0.0,0.0,0.0,l,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.0032,0.0028,0.003,l,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.9528,0.9279,0.9402,norev,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.9163,0.9118,0.914,norev,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.71,0.699,0.7045,norev,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.8964,0.8329,0.8635,norev,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.8934,0.8828,0.8881,norev,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.7078,0.6966,0.7022,norev,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.6641,0.4336,0.5247,norev,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.7698,0.7569,0.7633,norev,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.6746,0.6559,0.6651,norev,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0091,0.0029,0.0044,norev,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.6411,0.5411,0.5868,norev,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.0906,0.0794,0.0846,norev,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.8874,0.8756,0.8814,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.8398,0.837,0.8384,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.792,0.7578,0.7745,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.7475,0.6608,0.7015,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.7876,0.774,0.7808,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.7719,0.7346,0.7528,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.2929,0.0718,0.1153,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.5883,0.4775,0.5271,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.7323,0.6552,0.6916,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0047,0.0005,0.0008,s,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.4237,0.148,0.2193,s,6
