composer,title,split,model,recording,melody_kor_corr_64,bass_kor_corr_64,ratio_kor_corr_64,melody_kor_corr_127,bass_kor_corr_127,ratio_kor_corr_127,reverb,snr
Bach,Fugue_bwv_848,train,T5,disklavier,0.0389,0.023,0.0583,0.0389,0.023,0.0583,norev,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.1884,0.3908,0.4305,0.1884,0.3924,0.4303,norev,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.1644,0.3974,0.3899,0.1644,0.3974,0.3899,norev,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,0.0184,0.119,0.0913,0.0184,0.119,0.0913,norev,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.0708,0.4017,0.3215,0.0701,0.4017,0.3234,norev,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.154,0.3916,0.3864,0.154,0.3916,0.3864,norev,24
Bach,Fugue_bwv_848,train,T5,disklavier,0.0052,0.0683,0.0272,0.0052,0.0683,0.0272,norev,12
Bach,Fugue_bwv_848,train,kong,disklavier,0.0212,0.4148,0.324,0.0197,0.4148,0.3278,norev,12
Bach,Fugue_bwv_848,train,oaf,disklavier,0.1514,0.3871,0.3926,0.1514,0.3871,0.3926,norev,12
Bach,Fugue_bwv_848,train,T5,disklavier,-0.0168,0.1325,0.0151,-0.0168,0.1325,0.0151,norev,6
Bach,Fugue_bwv_848,train,kong,disklavier,0.0079,0.2096,0.1666,0.0079,0.2096,0.1666,norev,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.1243,0.3978,0.3625,0.1243,0.3978,0.3625,norev,6
Bach,Fugue_bwv_848,train,T5,disklavier,0.0205,-0.0195,0.0262,0.0205,-0.0195,0.0262,s,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.1683,0.3816,0.4208,0.1675,0.3818,0.4201,s,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.1705,0.4195,0.411,0.1705,0.4195,0.411,s,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,-0.0014,0.0354,0.018,-0.0014,0.0354,0.018,s,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.0487,0.3966,0.3269,0.0487,0.3967,0.3269,s,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.1641,0.4207,0.4136,0.1641,0.4207,0.4136,s,24
Bach,Fugue_bwv_848,train,T5,disklavier,-0.015,0.105,0.0063,-0.015,0.105,0.0063,s,12
Bach,Fugue_bwv_848,train,kong,disklavier,0.0086,0.42,0.2668,0.0086,0.42,0.2668,s,12
Bach,Fugue_bwv_848,train,oaf,disklavier,0.1594,0.4248,0.4004,0.1594,0.4248,0.4004,s,12
Bach,Fugue_bwv_848,train,T5,disklavier,0.0075,0.1359,0.0117,0.0075,0.1359,0.0117,s,6
Bach,Fugue_bwv_848,train,kong,disklavier,-0.1775,0.3395,-0.044,-0.1775,0.3395,-0.044,s,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.0377,0.4247,0.3012,0.0377,0.4247,0.3012,s,6
Bach,Fugue_bwv_848,train,T5,disklavier,-0.0126,0.0264,0.0216,-0.0126,0.0264,0.0216,m,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,-0.0022,0.1734,0.1259,-0.0027,0.1735,0.1261,m,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.1428,0.3715,0.3887,0.1428,0.3715,0.3887,m,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,-0.0169,0.0255,-0.0126,-0.0169,0.0255,-0.0126,m,24
Bach,Fugue_bwv_848,train,kong,disklavier,-0.0005,0.2919,0.0646,-0.0006,0.2916,0.0646,m,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.1204,0.3516,0.3832,0.1204,0.3516,0.3832,m,24
Bach,Fugue_bwv_848,train,T5,disklavier,-0.0437,0.082,-0.0365,-0.0437,0.082,-0.0365,m,12
Bach,Fugue_bwv_848,train,kong,disklavier,0.0289,0.135,0.1038,0.0289,0.135,0.1038,m,12
Bach,Fugue_bwv_848,train,oaf,disklavier,-0.008,0.1179,0.0991,-0.008,0.1179,0.0991,m,12
