composer,title,split,model,recording,cd_corr,cm_corr,ts_corr,reverb,snr
Bach,Fugue_bwv_848,train,T5,disklavier,0.8835,0.0268,-0.2531,norev,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.9045,0.2374,0.8295,norev,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.8849,0.2188,0.8281,norev,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,0.9316,0.1248,0.1629,norev,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.9045,0.2607,0.8146,norev,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.8849,0.2143,0.8267,norev,24
Bach,Fugue_bwv_848,train,T5,disklavier,0.8341,0.1842,0.3763,norev,12
Bach,Fugue_bwv_848,train,kong,disklavier,0.8709,0.2007,0.8912,norev,12
Bach,Fugue_bwv_848,train,oaf,disklavier,0.8849,0.2305,0.8222,norev,12
Bach,Fugue_bwv_848,train,T5,disklavier,0.3172,0.0467,-0.1048,norev,6
Bach,Fugue_bwv_848,train,kong,disklavier,0.8318,0.1375,0.8288,norev,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.7672,-0.4591,0.579,norev,6
Bach,Fugue_bwv_848,train,T5,disklavier,0.8535,0.1102,-0.1315,s,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.8472,0.2131,0.8339,s,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.89,0.1794,0.8326,s,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,0.9225,0.1118,0.5347,s,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.806,0.1664,0.8174,s,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.8781,0.1881,0.8277,s,24
Bach,Fugue_bwv_848,train,T5,disklavier,0.5206,0.0366,0.168,s,12
Bach,Fugue_bwv_848,train,kong,disklavier,0.7714,0.1814,0.8632,s,12
Bach,Fugue_bwv_848,train,oaf,disklavier,0.8286,0.1633,0.8288,s,12
Bach,Fugue_bwv_848,train,T5,disklavier,-0.5,0.2357,0.4827,s,6
Bach,Fugue_bwv_848,train,kong,disklavier,0.4676,0.1061,0.089,s,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.6709,-0.4154,0.7826,s,6
Bach,Fugue_bwv_848,train,T5,disklavier,0.5505,0.2663,0.3763,m,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.8323,0.2139,0.8237,m,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.8534,0.2191,0.8868,m,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,0.7291,-0.0043,0.501,m,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.8515,0.0241,0.8571,m,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.8728,0.1778,0.8176,m,24
Bach,Fugue_bwv_848,train,T5,disklavier,-0.1835,0.2825,0.1817,m,12
Bach,Fugue_bwv_848,train,kong,disklavier,0.4808,0.173,0.3306,m,12
Bach,Fugue_bwv_848,train,oaf,disklavier,0.8515,0.2724,0.815,m,12
Bach,Fugue_bwv_848,train,T5,disklavier,-0.083,0.0365,-0.376,m,6
Bach,Fugue_bwv_848,train,kong,disklavier,0.2156,0.1128,0.1531,m,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.4476,0.1999,-0.1288,m,6
Bach,Fugue_bwv_848,train,T5,disklavier,0.5308,0.1859,0.0291,l,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.6451,-0.1054,0.5387,l,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.8325,0.0631,0.8415,l,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,0.195,0.1543,0.243,l,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.7827,0.1317,0.819,l,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.8388,0.2145,0.8309,l,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.2626,0.1101,0.1891,l,12
Bach,Fugue_bwv_848,train,oaf,disklavier,0.7662,0.0785,0.4722,l,12
Bach,Fugue_bwv_848,train,kong,disklavier,0.1554,0.0237,-0.1231,l,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.3969,0.1095,-0.125,l,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.7011,0.3722,0.1682,norev,nonoise
