composer,title,split,model,recording,cd_corr,cm_corr,ts_corr,reverb,snr
Bach,Fugue_bwv_848,train,T5,disklavier,0.6362,0.1209,0.532,norev,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.6462,0.1332,0.2245,norev,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.6282,0.1279,0.2246,norev,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,0.6626,0.1036,0.5683,norev,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.6462,0.1234,0.2268,norev,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.6282,0.131,0.225,norev,24
Bach,Fugue_bwv_848,train,T5,disklavier,0.5549,0.1111,0.3399,norev,12
Bach,Fugue_bwv_848,train,kong,disklavier,0.6446,0.1334,0.252,norev,12
Bach,Fugue_bwv_848,train,oaf,disklavier,0.6282,0.1344,0.2259,norev,12
Bach,Fugue_bwv_848,train,T5,disklavier,0.436,0.0791,0.1553,norev,6
Bach,Fugue_bwv_848,train,kong,disklavier,0.6183,0.192,0.2021,norev,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.6396,0.1353,0.2109,norev,6
Bach,Fugue_bwv_848,train,T5,disklavier,0.6662,0.1164,0.4971,s,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.5858,0.1284,0.2162,s,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.6367,0.1212,0.228,s,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,0.6801,0.1172,0.5695,s,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.6236,0.1224,0.2021,s,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.6493,0.1283,0.2179,s,24
Bach,Fugue_bwv_848,train,T5,disklavier,0.5452,0.0732,0.2411,s,12
Bach,Fugue_bwv_848,train,kong,disklavier,0.6788,0.1812,0.1868,s,12
Bach,Fugue_bwv_848,train,oaf,disklavier,0.6867,0.1356,0.2426,s,12
Bach,Fugue_bwv_848,train,T5,disklavier,0.0818,-0.0043,-0.0402,s,6
Bach,Fugue_bwv_848,train,kong,disklavier,0.5599,0.0833,0.3445,s,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.5681,0.153,0.2444,s,6
Bach,Fugue_bwv_848,train,T5,disklavier,0.4935,0.1447,0.2235,m,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.6416,0.1297,0.2438,m,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.6546,0.1414,0.215,m,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,0.6598,0.1058,0.5673,m,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.6184,0.1221,0.2184,m,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.6408,0.1454,0.2198,m,24
Bach,Fugue_bwv_848,train,T5,disklavier,0.375,0.0795,0.18,m,12
Bach,Fugue_bwv_848,train,kong,disklavier,0.4039,0.1417,0.1229,m,12
Bach,Fugue_bwv_848,train,oaf,disklavier,0.6481,0.154,0.2332,m,12
Bach,Fugue_bwv_848,train,T5,disklavier,0.3954,0.0948,0.3061,m,6
Bach,Fugue_bwv_848,train,kong,disklavier,0.2987,0.0542,0.0252,m,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.225,0.0515,-0.1862,m,6
Bach,Fugue_bwv_848,train,T5,disklavier,0.5458,0.1404,0.0646,l,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.6585,0.1309,0.1997,l,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.6433,0.1295,0.2332,l,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,0.4675,0.1467,0.4405,l,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.6766,0.1275,0.2128,l,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.7116,0.108,0.2319,l,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.1424,0.0843,0.1302,l,12
Bach,Fugue_bwv_848,train,oaf,disklavier,0.6788,0.1485,0.2218,l,12
Bach,Fugue_bwv_848,train,kong,disklavier,0.4194,0.087,0.1675,l,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.1977,0.0388,-0.1545,l,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.8361,0.7121,0.6112,norev,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.9756,0.9262,0.9763,norev,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.9608,0.8894,0.969,norev,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.5608,0.2341,0.5629,norev,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.9388,0.5828,0.8872,norev,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.9547,0.8755,0.953,norev,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.3815,0.2049,0.4946,norev,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.8992,0.6139,0.8983,norev,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.9348,0.8498,0.9526,norev,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.1904,0.0092,0.304,norev,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.7383,0.6865,0.8142,norev,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.324,0.1184,0.7943,norev,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.7229,0.2125,0.4269,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.2842,0.0881,0.7513,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.9453,0.8353,0.9545,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.5701,0.1677,0.2663,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.2954,0.0994,0.7379,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.9066,0.8192,0.9463,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.2277,0.0786,0.2496,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.631,0.2177,0.6926,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.8392,0.703,0.8693,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.1139,0.0453,0.2031,s,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.5416,0.1394,0.6357,s,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.1966,0.0317,0.7675,s,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.6036,0.1823,0.4141,m,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.6909,0.3083,0.7484,m,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.9128,0.8501,0.936,m,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.3472,0.0795,-0.1643,m,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.6566,0.2582,0.7312,m,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.8292,0.7674,0.9211,m,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0832,0.0377,-0.1919,m,12
