composer,title,split,model,recording,melody_ioi_corr,acc_ioi_corr,ratio_ioi_corr,melody_ioi_dtw_dist,acc_ioi_dtw_dist,melody_ioi_hist_kld,acc_ioi_hist_kld,reverb,snr
Bach,Fugue_bwv_848,train,T5,disklavier,0.1209,0.1837,0.0,567.0,1231.0,1.1095,3.2693,norev,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.4912,-0.1149,0.0,179.0,267.0,0.5558,2.2526,norev,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.4554,-0.0971,0.0,251.0,386.0,0.6844,4.667,norev,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,0.1069,0.1715,0.0,521.0,951.0,0.8767,6.2584,norev,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.4315,-0.107,0.0,242.0,352.0,0.5671,2.5017,norev,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.4349,-0.0891,0.0,280.0,403.0,0.5206,2.3127,norev,24
Bach,Fugue_bwv_848,train,T5,disklavier,0.1526,0.0525,0.0,465.0,1221.0,0.5475,2.8182,norev,12
Bach,Fugue_bwv_848,train,kong,disklavier,0.2243,-0.0608,0.0,317.0,548.0,0.9703,2.6304,norev,12
Bach,Fugue_bwv_848,train,oaf,disklavier,0.3511,-0.0893,0.0,293.0,435.0,0.4908,2.1819,norev,12
Bach,Fugue_bwv_848,train,T5,disklavier,-0.0743,-0.0034,0.0,1029.0,4340.0,5.7906,7.5836,norev,6
Bach,Fugue_bwv_848,train,kong,disklavier,0.2862,0.0324,0.0,419.0,844.0,0.9167,6.9802,norev,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.3015,-0.1911,0.0,329.0,603.0,1.0465,2.3781,norev,6
Bach,Fugue_bwv_848,train,T5,disklavier,0.0743,0.0995,0.0,691.0,1211.0,2.0237,3.6187,s,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.416,-0.0865,0.0,214.0,403.0,0.5941,5.3208,s,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.37,-0.0869,0.0,285.0,423.0,0.5175,1.5726,s,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,0.0291,0.1351,0.0,972.0,1780.0,0.8369,2.3349,s,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.1911,-0.0972,0.0,318.0,644.0,1.3663,2.4094,s,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.3983,-0.0806,0.0,298.0,445.0,0.8303,1.5844,s,24
Bach,Fugue_bwv_848,train,T5,disklavier,0.2423,0.056,0.0,949.0,2512.0,0.9733,6.3951,s,12
Bach,Fugue_bwv_848,train,kong,disklavier,0.1069,-0.1052,0.0,600.0,932.0,1.0482,5.9144,s,12
Bach,Fugue_bwv_848,train,oaf,disklavier,0.3637,-0.1014,0.0,343.0,625.0,0.7713,1.845,s,12
Bach,Fugue_bwv_848,train,T5,disklavier,1.0,-0.8571,0.0,738.0,1424.0,15.7715,8.373,s,6
Bach,Fugue_bwv_848,train,kong,disklavier,-0.0817,-0.1484,0.0,607.0,1159.0,1.8719,7.2849,s,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.0466,-0.2309,0.0,714.0,816.0,0.7981,0.7588,s,6
Bach,Fugue_bwv_848,train,T5,disklavier,0.0066,-0.1098,0.0,1243.0,5476.0,8.3308,4.436,m,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.2493,-0.0779,0.0,395.0,1412.0,2.6669,2.4436,m,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.3434,-0.1069,0.0,311.0,633.0,0.4561,3.9141,m,nonoise
