composer,title,split,model,recording,melody_ioi_corr,acc_ioi_corr,ratio_ioi_corr,melody_ioi_dtw_dist,acc_ioi_dtw_dist,melody_ioi_hist_kld,acc_ioi_hist_kld,reverb,snr
Bach,Fugue_bwv_848,train,T5,disklavier,0.0465,0.0876,0.0,569.0,1231.0,0.5846,1.5172,norev,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.0521,0.1038,0.0,179.0,267.0,0.732,1.515,norev,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,-0.0328,0.0892,0.0,251.0,386.0,0.955,5.8373,norev,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,-0.03,0.0665,0.0,521.0,951.0,0.7657,2.8186,norev,24
Bach,Fugue_bwv_848,train,kong,disklavier,-0.004,0.1006,0.0,242.0,352.0,0.7246,2.6573,norev,24
Bach,Fugue_bwv_848,train,oaf,disklavier,-0.0241,0.0897,0.0,280.0,403.0,1.0706,5.8658,norev,24
Bach,Fugue_bwv_848,train,T5,disklavier,-0.0957,-0.0815,0.0,467.0,1221.0,0.6974,5.326,norev,12
Bach,Fugue_bwv_848,train,kong,disklavier,-0.0574,0.0774,0.0,317.0,548.0,0.4405,2.8654,norev,12
Bach,Fugue_bwv_848,train,oaf,disklavier,-0.0767,0.094,0.0,293.0,435.0,0.9634,5.7645,norev,12
Bach,Fugue_bwv_848,train,T5,disklavier,-0.1711,-0.0273,0.0,1029.0,4340.0,0.7077,1.6999,norev,6
Bach,Fugue_bwv_848,train,kong,disklavier,-0.0023,0.0213,0.0,423.0,844.0,0.5906,4.6255,norev,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.3337,0.0678,0.0,329.0,603.0,0.9342,5.8328,norev,6
Bach,Fugue_bwv_848,train,T5,disklavier,-0.0405,0.0252,0.0,692.0,1211.0,0.428,2.848,s,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.008,0.0755,0.0,214.0,403.0,0.7551,4.0106,s,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,-0.0783,0.0855,0.0,283.0,423.0,1.0337,5.6476,s,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,0.0617,0.0162,0.0,972.0,1780.0,0.4142,1.6415,s,24
Bach,Fugue_bwv_848,train,kong,disklavier,-0.0741,0.0958,0.0,318.0,644.0,0.4629,1.7596,s,24
Bach,Fugue_bwv_848,train,oaf,disklavier,-0.0801,0.0845,0.0,298.0,445.0,1.3109,5.6995,s,24
Bach,Fugue_bwv_848,train,T5,disklavier,-0.1012,-0.0623,0.0,944.0,2512.0,0.9159,5.115,s,12
Bach,Fugue_bwv_848,train,kong,disklavier,-0.0131,-0.0231,0.0,605.0,932.0,0.7277,3.9445,s,12
Bach,Fugue_bwv_848,train,oaf,disklavier,-0.073,0.093,0.0,344.0,625.0,0.7745,5.7941,s,12
Bach,Fugue_bwv_848,train,T5,disklavier,0.0889,-0.0094,0.0,738.0,1424.0,7.4163,6.0343,s,6
Bach,Fugue_bwv_848,train,kong,disklavier,-0.0587,-0.1223,0.0,607.0,1157.0,2.9355,8.6386,s,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.2685,0.0721,0.0,714.0,816.0,1.3783,6.0407,s,6
